recordDate,fiscalQuarter,productionDept,dayOfWeek,team,plannedEfficiency,standardMinuteValue,workInProgress,overtimeMinutes,performanceBonus,idleMinutes,idleWorkers,styleChangeCount,workerCount,efficiencyScore,idleOccurred
2015-02-25,Q4,Finishing & Quality,Wednesday,Line-Q1,0.7,2.9,1039.0,960,0,0.0,0,No Style Change,8.0,0.410833333,0
2015-01-03,Q1, Finishing & Quality ,Saturday,Line-S1,0.8,3.94,1039.0,960,0,0.0,0,No Style Change,8.0,0.902916667,0
2015-01-04,Q1,Stitching Unit,Sunday,Line-F3,0.8,11.61,800.5,6975,50,0.0,0,No Style Change,31.0,0.879714482,0
2015-01-14,Q2, Finishing & Quality ,Wednesday,Line-Q1,0.8,3.94,1039.0,1440,0,0.0,0,No Style Change,8.0,0.858143939,0
2015-03-04,Q1,Stitching Unit,Wednesday,Line-P1,0.8,11.41,800.5,0,38,0.0,0,No Style Change,56.0,0.800701754,0
2015-03-09,Q2,Stitching Unit,Monday,Line-S1,0.75,26.82,1252.5,7140,65,0.0,0,No Style Change,59.0,0.850426891,0
2015-02-17,Q3,Finishing & Quality,Tuesday,Line-F3,0.8,2.9,1039.0,960,0,0.0,0,No Style Change,8.0,0.749166667,0
2015-01-10,Q2,Stitching Unit,Saturday,Line-Q2,0.8,28.08,1082.0,10530,63,0.0,0,No Style Change,58.5,0.8,0
2015-02-22,Q4,Finishing & Quality,Sunday,Line-F3,0.8,2.9,1039.0,960,0,0.0,0,No Style Change,8.0,0.8319375,0
2015-01-19,Q3,Stitching Unit,Monday,Line-F2,0.65,20.4,1252.5,8280,35,0.0,0,No Style Change,58.0,0.650066445,0
2015-02-28,Q4,Finishing & Quality,Saturday,Line-C2,0.75,4.6,1039.0,3360,0,0.0,0,No Style Change,8.0,0.376597222,0
2015-02-28,Q4,Stitching Unit,Saturday,Line-S3,0.75,29.4,1144.0,4440,45,0.0,0,Major Design Shift,57.0,0.750716981,0
2015-01-28,Q4, Finishing & Quality ,Wednesday,Line-F1,0.8,4.3,1039.0,1440,0,0.0,0,No Style Change,12.0,0.722638889,0
2015-03-07,Q1,Finishing & Quality,Saturday,Line-F2,0.5499999999999998,3.94,1039.0,2400,0,0.0,0,No Style Change,10.0,0.80575,0
2015-01-18,Q3, Finishing & Quality ,Sunday,Line-C1,0.8,2.9,1039.0,1440,0,0.0,0,No Style Change,8.0,0.692045455,0
2015-01-10,Q2, Finishing & Quality ,Saturday,Line-Q2,0.8,3.94,1039.0,1440,0,0.0,0,No Style Change,8.0,0.846950758,0
2015-01-12,Q2,Stitching Unit,Monday,Line-F2,0.65,20.79,1141.0,8460,0,0.0,0,No Style Change,59.0,0.650040783,0
2015-01-06,Q1, Finishing & Quality ,Tuesday,Line-P1,0.8,4.15,1039.0,2700,0,0.0,0,No Style Change,15.0,0.888686869,0
2015-01-10,Q2,Stitching Unit,Saturday,Line-F2,0.5499999999999998,20.79,966.0,7680,0,0.0,0,No Style Change,56.0,0.388007813,0
2015-02-03,Q1, Finishing & Quality ,Tuesday,Line-F3,0.7,2.9,1039.0,960,0,0.0,0,No Style Change,8.0,0.495416667,0
2015-01-04,Q1,Stitching Unit,Sunday,Line-P2,0.8,11.61,1216.0,6975,50,0.0,0,No Style Change,31.0,0.800030199,0
2015-01-21,Q3, Finishing & Quality ,Wednesday,Line-F1,0.75,4.3,1039.0,6000,0,0.0,0,No Style Change,20.0,0.978525641,0
2015-02-12,Q2,Stitching Unit,Thursday,Line-Q1,0.8,29.12,800.5,6960,0,0.0,0,No Style Change,58.0,0.497885057,0
2015-02-07,Q1,Stitching Unit,Saturday,Line-F2,0.7,30.1,800.5,7500,0,0.0,0,No Style Change,59.0,0.545657673,0
2015-01-25,Q4,Stitching Unit,Sunday,Line-S1,0.7,22.94,1252.5,10530,75,0.0,0,No Style Change,58.5,0.800909609,0
2015-01-08,Q2, Finishing & Quality ,Thursday,Line-F2,0.7,4.15,1039.0,3840,0,0.0,0,No Style Change,8.0,0.821354167,0
2015-03-11,Q2,Stitching Unit,Wednesday,Line-F2,0.7,26.82,992.0,6960,30,0.0,0,Minor Style Revision,58.0,0.700556897,0
2015-01-04,Q1,Stitching Unit,Sunday,Line-P1,0.75,19.31,800.5,6480,45,0.0,0,No Style Change,54.0,0.750348457,0
2015-01-05,Q1,Stitching Unit,Monday,Line-Q2,0.75,28.08,1083.0,7020,45,0.0,0,No Style Change,58.5,0.7504,0
2015-01-19,Q3,Stitching Unit,Monday,Line-S1,0.5499999999999998,22.94,1252.5,10170,30,0.0,0,No Style Change,56.5,0.549969429,0
2015-01-11,Q2,Stitching Unit,Sunday,Line-S3,0.8,19.87,1043.0,6420,0,0.0,0,No Style Change,55.0,0.690182815,0
2015-01-04,Q1,Stitching Unit,Sunday,Line-Q2,0.7,28.08,1202.0,6900,40,0.0,0,No Style Change,57.5,0.699965217,0
2015-01-27,Q4, Finishing & Quality ,Tuesday,Line-S3,0.75,3.94,1039.0,1440,0,0.0,0,No Style Change,12.0,0.861875,0
2015-02-19,Q3,Stitching Unit,Thursday,Line-P2,0.8,15.26,1126.0,1080,38,0.0,0,No Style Change,34.0,0.800711494,0
2015-03-10,Q2,Stitching Unit,Tuesday,Line-P1,0.8,11.41,800.5,3420,50,0.0,0,No Style Change,58.0,0.800034503,0
2015-01-13,Q2, Finishing & Quality ,Tuesday,Line-Q2,0.8,3.94,1039.0,5400,0,0.0,0,No Style Change,20.0,0.912766667,0
2015-01-31,Q5,Stitching Unit,Saturday,Line-S1,0.75,22.94,1252.5,6960,81,0.0,0,No Style Change,58.0,0.850362069,0
2015-01-07,Q1, Finishing & Quality ,Wednesday,Line-C1,0.8,2.9,1039.0,1440,0,0.0,0,No Style Change,8.0,0.804640152,0
2015-01-20,Q3,Stitching Unit,Tuesday,Line-S2,0.7,22.94,1252.5,10260,50,0.0,0,No Style Change,57.0,0.750031898,0
2015-03-02,Q1,Stitching Unit,Monday,Line-C1,0.8,30.1,800.5,7080,0,0.0,0,No Style Change,59.0,0.800115819,0
2015-01-31,Q5,Stitching Unit,Saturday,Line-P1,0.65,20.1,1252.5,6480,49,0.0,0,No Style Change,54.0,0.650148148,0
2015-01-11,Q2, Finishing & Quality ,Sunday,Line-Q1,0.8,3.94,1039.0,1440,0,0.0,0,No Style Change,8.0,0.858143939,0
2015-02-02,Q1,Stitching Unit,Monday,Line-S1,0.8,22.94,1252.5,7020,113,0.0,0,No Style Change,58.5,1.000602279,0
2015-02-04,Q1,Stitching Unit,Wednesday,Line-C2,0.7,29.12,1248.0,6840,0,0.0,0,No Style Change,57.0,0.700135088,0
2015-02-28,Q4,Stitching Unit,Saturday,Line-S1,0.5499999999999998,26.66,1252.5,6840,30,0.0,0,Major Design Shift,57.0,0.550349708,0
2015-02-25,Q4,Stitching Unit,Wednesday,Line-Q1,0.75,18.79,1085.0,6240,56,0.0,0,Minor Style Revision,52.0,0.970816667,0
2015-01-17,Q3,Stitching Unit,Saturday,Line-C2,0.8,25.9,1252.5,10170,50,0.0,0,No Style Change,56.5,0.800128721,0
2015-01-22,Q4,Stitching Unit,Thursday,Line-F2,0.7,20.4,1252.5,10440,40,0.0,0,No Style Change,58.0,0.700250784,0
2015-02-22,Q4,Finishing & Quality,Sunday,Line-S2,0.8,5.13,1039.0,4800,0,0.0,0,No Style Change,20.0,0.8300625,0
2015-02-08,Q2,Stitching Unit,Sunday,Line-P1,0.75,10.05,800.5,3240,45,0.0,0,No Style Change,27.0,0.750027778,0
2015-02-11,Q2,Stitching Unit,Wednesday,Line-F1,0.7,30.1,800.5,5940,40,0.0,0,Minor Style Revision,59.5,0.700588406,0
2015-01-28,Q4,Stitching Unit,Wednesday,Line-Q2,0.8,22.52,1175.0,6720,60,0.0,0,No Style Change,56.0,0.850532143,0
2015-03-02,Q1,Stitching Unit,Monday,Line-F1,0.65,26.66,832.0,6780,55,0.0,0,No Style Change,57.0,0.750254867,0
2015-01-07,Q1, Finishing & Quality ,Wednesday,Line-F3,0.8,2.9,1039.0,1800,0,0.0,0,No Style Change,10.0,0.666515152,0
2015-03-10,Q2,Stitching Unit,Tuesday,Line-S3,0.8,30.1,800.5,6960,63,0.0,0,Minor Style Revision,58.0,0.800071839,0
2015-01-08,Q2,Stitching Unit,Thursday,Line-Q2,0.75,28.08,1066.0,10530,69,0.0,0,No Style Change,58.5,0.8,0
2015-01-31,Q5,Stitching Unit,Saturday,Line-S2,0.8,22.52,1252.5,6840,113,0.0,0,No Style Change,57.0,1.000230409,0
2015-01-05,Q1, Finishing & Quality ,Monday,Line-C2,0.8,2.9,1039.0,960,0,0.0,0,No Style Change,8.0,0.664583333,0
2015-02-22,Q4,Stitching Unit,Sunday,Line-P1,0.75,11.41,834.0,3480,0,0.0,0,Major Design Shift,58.0,0.672140805,0
2015-02-12,Q2,Stitching Unit,Thursday,Line-F2,0.75,30.1,800.5,7080,56,0.0,0,No Style Change,59.0,0.750799435,0
2015-03-11,Q2,Stitching Unit,Wednesday,Line-F3,0.7,23.41,1128.0,4560,40,0.0,0,Minor Style Revision,38.0,0.700246491,0
2015-02-24,Q4,Finishing & Quality,Tuesday,Line-Q2,0.7,2.9,1039.0,1800,0,0.0,0,No Style Change,15.0,0.902222222,0
2015-02-25,Q4,Stitching Unit,Wednesday,Line-F3,0.75,18.79,1003.0,3960,45,0.0,0,Minor Style Revision,33.0,0.75065101,0
2015-03-02,Q1,Stitching Unit,Monday,Line-P1,0.8,11.61,800.5,0,50,0.0,0,No Style Change,57.0,0.800309211,0
2015-01-24,Q4,Stitching Unit,Saturday,Line-S3,0.75,22.52,1252.5,10260,69,0.0,0,No Style Change,57.0,0.80035194,0
2015-01-27,Q4, Finishing & Quality ,Tuesday,Line-Q2,0.8,3.94,1039.0,1440,0,0.0,0,No Style Change,12.0,0.979527778,0
2015-01-10,Q2, Finishing & Quality ,Saturday,Line-P1,0.8,4.15,1039.0,1440,0,0.0,0,No Style Change,8.0,0.817424242,0
2015-02-05,Q1,Finishing & Quality,Thursday,Line-S2,0.8,3.94,1039.0,2640,0,0.0,0,No Style Change,22.0,0.999924242,0
2015-02-16,Q3,Stitching Unit,Monday,Line-C2,0.7,30.1,800.5,7080,27,2.0,10,Major Design Shift,59.0,0.621971751,1
2015-02-14,Q2,Stitching Unit,Saturday,Line-F3,0.8,18.79,822.0,4080,0,0.0,0,No Style Change,34.0,0.557252451,0
2015-01-14,Q2,Stitching Unit,Wednesday,Line-Q1,0.8,26.16,1232.0,10620,75,0.0,0,No Style Change,59.0,0.850502311,0
2015-01-10,Q2,Stitching Unit,Saturday,Line-F1,0.8,28.08,800.5,10440,63,0.0,0,No Style Change,58.0,0.801028213,0
2015-01-27,Q4,Stitching Unit,Tuesday,Line-P2,0.7,15.26,1252.5,4080,40,0.0,0,No Style Change,34.0,0.700164706,0
2015-01-11,Q2,Stitching Unit,Sunday,Line-F2,0.6,20.79,1208.0,7980,0,0.0,0,No Style Change,57.0,0.452979626,0
2015-02-07,Q1,Stitching Unit,Saturday,Line-C1,0.7,24.26,800.5,6960,0,270.0,45,No Style Change,58.0,0.662270115,1
2015-02-02,Q1, Finishing & Quality ,Monday,Line-F1,0.8,4.3,1039.0,1440,0,0.0,0,No Style Change,12.0,0.809236111,0
2015-02-24,Q4,Finishing & Quality,Tuesday,Line-C2,0.7,4.6,1039.0,960,0,0.0,0,No Style Change,8.0,0.791458333,0
2015-02-25,Q4,Stitching Unit,Wednesday,Line-S1,0.65,22.53,800.5,5040,0,0.0,0,Minor Style Revision,42.0,0.581130952,0
2015-03-10,Q2,Stitching Unit,Tuesday,Line-Q1,0.75,18.79,1247.0,6240,45,0.0,0,No Style Change,52.0,0.750395513,0
2015-01-20,Q3,Stitching Unit,Tuesday,Line-Q2,0.7,22.52,1108.0,10080,63,0.0,0,No Style Change,56.0,0.750057359,0
2015-02-10,Q2,Stitching Unit,Tuesday,Line-Q2,0.8,22.52,1252.5,0,88,0.0,0,No Style Change,56.0,0.90063244,0
2015-01-08,Q2,Stitching Unit,Thursday,Line-Q1,0.8,26.16,1216.0,10620,88,0.0,0,No Style Change,59.0,0.900215716,0
2015-02-17,Q3,Stitching Unit,Tuesday,Line-P2,0.8,15.26,1133.0,4080,38,0.0,0,No Style Change,34.0,0.800401961,0
2015-02-05,Q1,Stitching Unit,Thursday,Line-Q1,0.8,29.12,1069.0,6960,50,0.0,0,No Style Change,58.0,0.799963218,0
2015-01-15,Q3, Finishing & Quality ,Thursday,Line-C2,0.8,2.9,1039.0,1440,0,0.0,0,No Style Change,8.0,0.606912879,0
2015-03-09,Q2,Stitching Unit,Monday,Line-F3,0.65,23.41,1252.5,4560,35,0.0,0,Minor Style Revision,38.0,0.650962281,0
2015-01-25,Q4,Stitching Unit,Sunday,Line-Q1,0.65,29.12,1086.0,10440,26,0.0,0,No Style Change,58.0,0.650407524,0
2015-01-13,Q2, Finishing & Quality ,Tuesday,Line-P1,0.8,4.15,1039.0,1440,0,0.0,0,No Style Change,8.0,0.601278409,0
2015-02-19,Q3,Stitching Unit,Thursday,Line-C2,0.7,29.4,1116.0,6240,0,0.0,0,Major Design Shift,57.0,0.7,0
2015-02-04,Q1, Finishing & Quality ,Wednesday,Line-P2,0.8,4.08,1039.0,1080,0,0.0,0,No Style Change,9.0,0.687555556,0
2015-02-01,Q1,Stitching Unit,Sunday,Line-C2,0.6,24.26,1196.0,6600,0,0.0,0,No Style Change,55.0,0.466821212,0
2015-01-25,Q4, Finishing & Quality ,Sunday,Line-P2,0.7,4.08,1039.0,1620,0,0.0,0,No Style Change,9.0,0.618181818,0
2015-01-25,Q4,Stitching Unit,Sunday,Line-C2,0.5499999999999998,15.09,1252.5,720,23,0.0,0,No Style Change,52.0,0.500061916,0
2015-01-27,Q4,Stitching Unit,Tuesday,Line-S1,0.75,22.94,1252.5,6960,55,0.0,0,No Style Change,58.0,0.800263218,0
2015-02-19,Q3,Stitching Unit,Thursday,Line-S1,0.8,22.52,800.5,3840,63,0.0,0,No Style Change,57.0,0.800470513,0
2015-03-07,Q1,Finishing & Quality,Saturday,Line-C1,0.8,4.6,1039.0,6000,0,0.0,0,No Style Change,25.0,0.825444444,0
2015-02-09,Q2,Finishing & Quality,Monday,Line-F3,0.75,2.9,1039.0,960,0,0.0,0,No Style Change,8.0,0.888125,0
2015-02-15,Q3,Stitching Unit,Sunday,Line-F2,0.8,30.1,800.5,7140,0,0.0,0,No Style Change,59.5,0.722568627,0
2015-03-01,Q1,Stitching Unit,Sunday,Line-Q2,0.7,21.82,1252.5,5640,30,0.0,0,No Style Change,52.0,0.700236601,0
2015-01-26,Q4,Stitching Unit,Monday,Line-S1,0.7,22.94,1252.5,10440,60,0.0,0,No Style Change,58.0,0.800023511,0
2015-01-31,Q5,Stitching Unit,Saturday,Line-C2,0.5499999999999998,23.54,1144.0,6480,0,0.0,0,No Style Change,54.0,0.286984568,0
2015-01-31,Q5, Finishing & Quality ,Saturday,Line-C1,0.7,3.94,1039.0,1200,0,0.0,0,No Style Change,10.0,0.971866667,0
2015-02-08,Q2,Stitching Unit,Sunday,Line-C2,0.7,24.26,800.5,6840,0,0.0,0,No Style Change,57.0,0.353259649,0
2015-01-21,Q3,Stitching Unit,Wednesday,Line-Q1,0.8,54.56,800.5,4140,29,0.0,0,No Style Change,58.0,0.520237649,0
2015-02-25,Q4,Finishing & Quality,Wednesday,Line-S3,0.8,4.6,1039.0,2400,0,0.0,0,No Style Change,20.0,0.900833333,0
2015-01-17,Q3, Finishing & Quality ,Saturday,Line-P1,0.8,4.15,1039.0,1260,0,0.0,0,No Style Change,7.0,0.313852814,0
2015-01-19,Q3,Stitching Unit,Monday,Line-Q1,0.8,26.16,1196.0,10620,63,0.0,0,No Style Change,59.0,0.800117103,0
2015-01-12,Q2,Stitching Unit,Monday,Line-Q2,0.8,50.48,800.5,6930,45,0.0,0,No Style Change,58.5,0.688557555,0
2015-03-02,Q1,Finishing & Quality,Monday,Line-F1,0.65,3.94,1039.0,960,0,0.0,0,No Style Change,8.0,0.806879167,0
2015-01-18,Q3,Stitching Unit,Sunday,Line-F1,0.7,22.52,882.0,10170,50,0.0,0,No Style Change,56.5,0.7005417,0
2015-01-19,Q3,Stitching Unit,Monday,Line-S3,0.7,22.52,1095.0,10170,50,0.0,0,No Style Change,56.5,0.750062751,0
2015-01-15,Q3, Finishing & Quality ,Thursday,Line-Q2,0.8,3.94,1039.0,3420,0,0.0,0,No Style Change,19.0,0.953110048,0
2015-02-03,Q1,Stitching Unit,Tuesday,Line-Q2,0.8,22.52,1188.0,6720,90,0.0,0,No Style Change,56.0,0.999995238,0
2015-01-26,Q4, Finishing & Quality ,Monday,Line-Q2,0.75,3.94,1039.0,3780,0,0.0,0,No Style Change,21.0,0.997792208,0
2015-01-24,Q4,Stitching Unit,Saturday,Line-Q1,0.6,29.12,925.0,6660,23,0.0,0,No Style Change,58.0,0.600125217,0
2015-01-19,Q3,Stitching Unit,Monday,Line-C1,0.8,48.84,1040.0,10260,30,0.0,0,No Style Change,57.0,0.576460393,0
2015-02-26,Q4,Stitching Unit,Thursday,Line-F3,0.75,18.79,912.0,3960,45,0.0,0,No Style Change,33.0,0.75065101,0
2015-01-15,Q3,Stitching Unit,Thursday,Line-F2,0.7,20.79,800.5,10440,0,0.0,0,No Style Change,58.0,0.700060345,0
2015-01-17,Q3,Stitching Unit,Saturday,Line-S2,0.6,22.94,865.0,6570,23,0.0,0,No Style Change,56.5,0.77011398,0
2015-02-17,Q3,Stitching Unit,Tuesday,Line-F2,0.8,30.1,800.5,7140,0,0.0,0,No Style Change,59.0,0.653431373,0
2015-01-06,Q1,Stitching Unit,Tuesday,Line-C1,0.8,25.9,1035.0,10170,38,0.0,0,No Style Change,56.5,0.800128721,0
2015-01-25,Q4,Stitching Unit,Sunday,Line-P2,0.7,15.26,1252.5,6120,40,0.0,0,No Style Change,34.0,0.70043672,0
2015-02-17,Q3,Stitching Unit,Tuesday,Line-P1,0.7,11.41,1054.0,3420,30,0.0,0,Major Design Shift,56.0,0.700614035,0
2015-01-03,Q1,Stitching Unit,Saturday,Line-C1,0.8,25.9,1138.0,6720,38,0.0,0,No Style Change,56.0,0.800125,0
2015-02-02,Q1, Finishing & Quality ,Monday,Line-F3,0.6,2.9,1039.0,1200,0,0.0,0,No Style Change,10.0,0.280333333,0
2015-02-19,Q3,Stitching Unit,Thursday,Line-F2,0.8,30.1,800.5,600,63,3.5,15,No Style Change,59.5,0.799982853,1
2015-01-21,Q3,Stitching Unit,Wednesday,Line-F3,0.8,11.61,916.0,5760,75,0.0,0,No Style Change,89.0,0.850410511,0
2015-03-01,Q1,Stitching Unit,Sunday,Line-F2,0.6,27.48,800.5,6720,38,0.0,0,No Style Change,56.0,0.707446429,0
2015-01-12,Q2,Stitching Unit,Monday,Line-Q1,0.8,26.16,1093.0,10620,75,0.0,0,No Style Change,59.0,0.850502311,0
2015-03-03,Q1,Stitching Unit,Tuesday,Line-P2,0.8,15.26,983.0,4080,50,0.0,0,No Style Change,34.0,0.800401961,0
2015-01-11,Q2, Finishing & Quality ,Sunday,Line-Q2,0.8,3.94,1039.0,1440,0,0.0,0,No Style Change,8.0,0.828295455,0
2015-01-17,Q3,Stitching Unit,Saturday,Line-S3,0.6,22.52,1140.0,10170,30,0.0,0,No Style Change,56.5,0.600291767,0
2015-01-06,Q1,Stitching Unit,Tuesday,Line-S1,0.8,26.16,1187.0,10620,75,0.0,0,No Style Change,59.0,0.850502311,0
2015-02-10,Q2,Finishing & Quality,Tuesday,Line-S2,0.8,3.94,1039.0,2160,0,0.0,0,No Style Change,18.0,0.966759259,0
2015-02-11,Q2,Stitching Unit,Wednesday,Line-Q1,0.8,29.12,800.5,3240,50,0.0,0,No Style Change,58.0,0.800144144,0
2015-03-08,Q2,Finishing & Quality,Sunday,Line-S1,0.75,3.94,1039.0,960,0,0.0,0,No Style Change,8.0,0.890604167,0
2015-01-12,Q2, Finishing & Quality ,Monday,Line-C2,0.8,2.9,1039.0,1440,0,0.0,0,No Style Change,8.0,0.725,0
2015-03-03,Q1,Finishing & Quality,Tuesday,Line-C2,0.75,4.6,1039.0,3360,0,0.0,0,No Style Change,8.0,0.702777778,0
2015-03-09,Q2,Finishing & Quality,Monday,Line-P1,0.8,2.9,1039.0,0,960,0.0,0,No Style Change,8.0,0.960625,0
2015-01-17,Q3, Finishing & Quality ,Saturday,Line-F3,0.8,2.9,1039.0,900,0,0.0,0,No Style Change,5.0,0.465757576,0
2015-03-01,Q1,Finishing & Quality,Sunday,Line-Q2,0.7,2.9,1039.0,3360,0,0.0,0,No Style Change,8.0,0.664583333,0
2015-01-19,Q3, Finishing & Quality ,Monday,Line-Q1,0.8,3.94,1039.0,1800,0,0.0,0,No Style Change,10.0,0.964106061,0
